"Ancient Egypt: What is a pharaoh?","A ruler of ancient Egypt, often considered a god on earth."
"Ancient Egypt: What is the purpose of the pyramids?","Tombs for the pharaohs and their queens."
"Mesopotamia: What is the Code of Hammurabi?","One of the oldest deciphered writings of significant length in the world, a code of law from ancient Babylon."
"Mesopotamia: What writing system did the Sumerians invent?","Cuneiform."
"Ancient Greece: Who is the 'Father of History'?","Herodotus."
"Ancient Greece: What was the primary form of government in Athens?","Direct democracy."
"Ancient Greece: Who was the king of Macedon that conquered much of the known world?","Alexander the Great."
"Ancient Rome: Who was the first Roman Emperor?","Augustus (Octavian)."
"Ancient Rome: What event marked the fall of the Roman Republic?","Julius Caesar crossing the Rubicon in 49 BC and his subsequent assassination."
"Ancient Rome: When did the Western Roman Empire fall?","476 AD."
"Middle Ages: What was feudalism?","A social system in medieval Europe where nobility held lands from the Crown in exchange for military service, and vassals were in turn tenants of the nobles."
"Middle Ages: What was the Magna Carta?","A document signed by King John of England in 1215 that limited the king's powers and protected barons' rights."
"Middle Ages: Who was Charlemagne?","King of the Franks who united most of Western Europe during the early Middle Ages."
"Middle Ages: What were the Crusades?","A series of religious wars sanctioned by the Latin Church in the medieval period."
"Renaissance: Where did the Renaissance begin?","Florence, Italy."
"Renaissance: Who painted the Mona Lisa?","Leonardo da Vinci."
"Renaissance: What did Johannes Gutenberg invent around 1440?","The printing press with movable type."
"Age of Discovery: Who was the first explorer to circumnavigate the globe?","Ferdinand Magellan (his expedition completed it)."
"Age of Discovery: In what year did Christopher Columbus reach the Americas?","1492."
"Reformation: Who started the Protestant Reformation?","Martin Luther by pinning his Ninety-five Theses to the door of the Castle Church in Wittenberg in 1517."
"Reformation: Who broke England away from the Catholic Church?","King Henry VIII."
"Enlightenment: What did John Locke argue?","People have natural rights to life, liberty, and property."
"Enlightenment: What was the central idea of Montesquieu?","Separation of powers in government."
"French Revolution: When did the French Revolution begin?","1789 with the storming of the Bastille."
"French Revolution: Who was the king executed during the French Revolution?","Louis XVI."
"Napoleonic Era: At what battle was Napoleon finally defeated?","The Battle of Waterloo in 1815."
"Industrial Revolution: Where did the Industrial Revolution begin?","Great Britain."
"Industrial Revolution: What was a key invention by James Watt?","The improved steam engine."
"19th Century: Who wrote 'The Communist Manifesto'?","Karl Marx and Friedrich Engels."
"19th Century: What was the Meiji Restoration?","An event that restored practical imperial rule to the Empire of Japan in 1868 under Emperor Meiji, leading to modernization."
"World War I: What event triggered WWI?","The assassination of Archduke Franz Ferdinand of Austria in 1914."
"World War I: Who were the Central Powers?","Germany, Austria-Hungary, the Ottoman Empire, and Bulgaria."
"World War I: What treaty officially ended the war between Germany and the Allied Powers?","The Treaty of Versailles (1919)."
"Russian Revolution: Who led the Bolshevik Revolution in 1917?","Vladimir Lenin."
"Russian Revolution: Who was the last Tsar of Russia?","Nicholas II."
"Between the Wars: What was the Great Depression?","A severe worldwide economic depression that took place mostly during the 1930s, beginning in the United States."
"World War II: When did WWII begin?","September 1, 1939, when Germany invaded Poland."
"World War II: Who were the main Axis Powers?","Germany, Italy, and Japan."
"World War II: What was D-Day?","The Allied invasion of Normandy, France on June 6, 1944."
"World War II: When were atomic bombs dropped on Japan?","August 1945 (Hiroshima and Nagasaki)."
"Cold War: What was the Cold War?","A period of geopolitical tension between the Soviet Union and the United States and their respective allies after WWII."
"Cold War: What was the Marshall Plan?","A U.S. program providing aid to Western Europe following the devastation of World War II."
"Cold War: What was the Cuban Missile Crisis?","A 13-day confrontation in 1962 between the U.S. and the Soviet Union concerning American ballistic missile deployment in Italy and Turkey with consequent Soviet ballistic missile deployment in Cuba."
"Cold War: When did the Berlin Wall fall?","1989."
"Post-Cold War: When did the Soviet Union collapse?","1991."
"Decolonization: Who led India to independence from British rule?","Mahatma Gandhi."
"Decolonization: When did the majority of African nations gain independence?","The 1950s and 1960s."
"20th Century China: Who led the Chinese Communist Revolution?","Mao Zedong."
"Apartheid: Who was the first black head of state in South Africa?","Nelson Mandela, elected in 1994."
"Modern Era: What is the significance of September 11, 2001?","Terrorist attacks carried out by al-Qaeda against the United States, prompting the Global War on Terrorism."
